Brand,Model Year,Mileage,Fuel Type,Condition,Transmission,Resale Price
Mercedes,2009,60284,Electric,4,Automatic,53225
Mercedes,2021,28472,Electric,1,Automatic,59099
BMW,2023,67070,Diesel,5,Automatic,50269
Mercedes,2023,54881,Gasoline,1,Manual,48333
Toyota,2016,87408,Gasoline,4,Automatic,25506
Honda,2013,88589,Diesel,3,Automatic,24560
Toyota,2005,89289,Electric,1,Manual,21817
Toyota,2022,48768,Gasoline,1,Automatic,29968
Mercedes,2008,99797,Electric,5,Automatic,55120
Honda,2014,67018,Electric,5,Automatic,38210
Honda,2011,92527,Diesel,1,Manual,18355
Honda,2005,49947,Diesel,1,Automatic,15912
BMW,2021,54028,Electric,5,Manual,54876
Mercedes,2006,65480,Gasoline,4,Manual,43802
Honda,2015,63037,Gasoline,2,Manual,28209
BMW,2013,85096,Diesel,2,Manual,37396
Ford,2011,55357,Electric,1,Manual,25401
Ford,2021,83292,Gasoline,5,Manual,28975
BMW,2021,74644,Gasoline,3,Manual,42255
BMW,2006,55732,Diesel,3,Automatic,43264
Mercedes,2010,73093,Electric,2,Automatic,50228
Mercedes,2018,50534,Gasoline,4,Manual,48475
Ford,2010,107004,Diesel,2,Manual,20402
Honda,2006,6713,Gasoline,1,Manual,20281
Ford,2005,73458,Gasoline,4,Manual,21649
Honda,2014,24708,Gasoline,3,Manual,24891
Honda,2009,55486,Diesel,5,Manual,28752
Mercedes,2006,58287,Electric,5,Automatic,51757
Toyota,2020,90152,Diesel,1,Automatic,24744
Toyota,2006,46156,Electric,2,Manual,30750
BMW,2014,86160,Gasoline,1,Manual,35706
Mercedes,2006,36423,Electric,5,Manual,55020
Honda,2020,86933,Gasoline,3,Automatic,28852
Toyota,2020,50513,Gasoline,5,Manual,31460
Honda,2023,61468,Diesel,4,Automatic,31770
Toyota,2011,53272,Gasoline,5,Automatic,29782
Toyota,2016,85647,Diesel,5,Automatic,34940
Toyota,2019,81754,Electric,4,Manual,36025
Mercedes,2012,68870,Electric,2,Manual,51420
Ford,2010,36962,Gasoline,5,Automatic,29460
Honda,2014,45699,Diesel,1,Automatic,24189
Mercedes,2007,39428,Gasoline,5,Automatic,50242
Mercedes,2023,15037,Diesel,1,Automatic,52620
Mercedes,2021,85226,Diesel,4,Manual,49719
Mercedes,2011,53443,Diesel,5,Automatic,55523
Mercedes,2024,53230,Electric,4,Manual,61033
BMW,2008,89922,Diesel,4,Automatic,40226
Honda,2018,50480,Electric,2,Manual,33105
Mercedes,2024,43190,Diesel,5,Automatic,58413
Honda,2019,55505,Electric,1,Manual,35096
BMW,2012,37346,Electric,1,Manual,45211
BMW,2019,66887,Electric,5,Manual,57571
Honda,2024,52526,Gasoline,2,Automatic,28280
Toyota,2018,49854,Diesel,2,Manual,27442
Ford,2013,48121,Gasoline,2,Automatic,23068
Toyota,2012,57875,Diesel,1,Manual,21616
Toyota,2021,61669,Diesel,4,Manual,30470
Toyota,2006,49600,Gasoline,2,Automatic,21597
Mercedes,2007,52824,Electric,1,Manual,50319
BMW,2012,58369,Diesel,1,Manual,40426
Toyota,2016,56351,Electric,4,Automatic,39487
BMW,2005,60621,Gasoline,5,Manual,37520
Honda,2014,46466,Electric,5,Manual,34310
Ford,2024,80091,Diesel,2,Manual,28479
Honda,2007,61936,Diesel,2,Manual,21003
Honda,2010,49923,Diesel,4,Automatic,28214
Mercedes,2011,66887,Gasoline,2,Manual,42738
Ford,2024,58512,Diesel,4,Manual,32856
Honda,2022,25323,Gasoline,1,Manual,26425
Honda,2015,66819,Electric,2,Manual,29084
Ford,2023,39609,Diesel,1,Manual,24377
Ford,2009,78688,Diesel,3,Manual,21566
Honda,2023,55165,Diesel,4,Manual,36076
Ford,2015,75601,Electric,3,Manual,28498
Honda,2016,47395,Diesel,2,Automatic,30829
Honda,2014,61398,Gasoline,1,Automatic,22578
Mercedes,2012,84204,Electric,2,Automatic,51341
Toyota,2013,54619,Electric,3,Automatic,37598
Honda,2008,48183,Electric,2,Manual,27580
BMW,2009,73100,Electric,5,Manual,48341
Toyota,2012,72713,Electric,3,Automatic,34822
Toyota,2013,49025,Gasoline,2,Automatic,25200
Toyota,2019,20290,Electric,1,Automatic,39275
Mercedes,2019,47799,Diesel,2,Manual,47986
Honda,2020,73547,Electric,1,Manual,28545
Mercedes,2018,44499,Electric,5,Automatic,59990
Honda,2012,59781,Electric,2,Automatic,26277
Mercedes,2022,46850,Electric,5,Automatic,63761
Mercedes,2014,21356,Electric,3,Automatic,60540
BMW,2024,46490,Gasoline,1,Automatic,43581
Mercedes,2010,73462,Gasoline,3,Manual,43497
Ford,2016,12594,Electric,1,Automatic,35231
BMW,2006,65043,Gasoline,5,Manual,37244
Mercedes,2011,36278,Diesel,4,Automatic,53759
Toyota,2020,72168,Electric,2,Automatic,36346
Ford,2007,74286,Diesel,5,Manual,27306
Ford,2017,56561,Diesel,1,Automatic,22900
Ford,2007,56606,Electric,1,Manual,24131
BMW,2022,43872,Diesel,1,Manual,43005
Mercedes,2015,33088,Diesel,1,Automatic,48264
Mercedes,2012,93961,Diesel,2,Automatic,46734
Toyota,2010,42698,Electric,3,Manual,38661
Toyota,2005,91355,Electric,4,Manual,29342
Ford,2005,42809,Diesel,2,Automatic,22407
Toyota,2012,70503,Electric,1,Manual,26282
BMW,2009,37243,Electric,2,Automatic,44357
Mercedes,2020,70467,Diesel,5,Manual,54317
Ford,2015,53488,Electric,1,Automatic,30732
Toyota,2009,53749,Gasoline,4,Manual,29520
BMW,2008,72200,Electric,1,Manual,43126
BMW,2010,50617,Gasoline,4,Automatic,43652
Toyota,2018,31437,Diesel,4,Manual,32216
Mercedes,2023,75226,Electric,3,Manual,57546
Toyota,2013,37081,Diesel,3,Manual,25756
Ford,2016,70330,Diesel,2,Manual,19980
Toyota,2015,79459,Diesel,2,Manual,23425
BMW,2018,52490,Diesel,4,Manual,45338
Toyota,2020,83647,Diesel,1,Manual,24022
Mercedes,2005,69635,Electric,5,Automatic,51446
Honda,2017,46082,Gasoline,5,Manual,27699
Toyota,2017,88028,Electric,1,Manual,32170
Mercedes,2006,37166,Electric,1,Automatic,51638
Mercedes,2008,52465,Electric,3,Manual,50719
BMW,2010,55873,Electric,5,Manual,50380
Mercedes,2009,72104,Gasoline,4,Automatic,44130
Mercedes,2007,82308,Electric,2,Manual,45293
Mercedes,2005,81055,Diesel,3,Manual,41569
Mercedes,2008,64474,Electric,5,Automatic,53767
Ford,2024,54394,Electric,1,Automatic,36497
Ford,2006,23480,Gasoline,5,Manual,21300
BMW,2009,33717,Gasoline,4,Manual,37014
Toyota,2007,95333,Diesel,3,Automatic,25705
Mercedes,2013,23278,Electric,1,Manual,53390
Toyota,2024,44310,Electric,4,Automatic,42022
Toyota,2010,82892,Electric,2,Automatic,28314
BMW,2022,64194,Diesel,3,Automatic,43873
Mercedes,2010,78560,Gasoline,4,Manual,47255
Mercedes,2023,70856,Diesel,4,Automatic,55179
Honda,2016,89391,Electric,1,Automatic,30314
Toyota,2015,65908,Gasoline,2,Automatic,25976
Toyota,2006,73268,Gasoline,4,Manual,18009
Ford,2019,45515,Diesel,3,Manual,28964
Honda,2016,71726,Gasoline,4,Manual,29913
Ford,2016,52077,Gasoline,5,Automatic,28830
Ford,2013,50937,Electric,3,Manual,35720
Ford,2006,77894,Electric,3,Manual,25872
BMW,2007,78032,Gasoline,4,Automatic,43431
BMW,2016,93768,Gasoline,1,Automatic,39925
Ford,2020,92465,Diesel,3,Manual,26488
Honda,2005,78346,Diesel,5,Manual,26770
Toyota,2007,25591,Gasoline,1,Automatic,24785
Honda,2024,96553,Electric,1,Manual,32922
Mercedes,2006,78359,Gasoline,1,Automatic,36199
BMW,2013,44682,Gasoline,3,Automatic,40251
Toyota,2023,74578,Electric,1,Manual,34688
Toyota,2019,39254,Electric,4,Manual,40972
Mercedes,2022,72372,Diesel,1,Manual,47138
Mercedes,2015,33674,Diesel,5,Manual,50133
Ford,2020,43835,Diesel,2,Automatic,26129
BMW,2021,74198,Diesel,5,Manual,45722
BMW,2009,81457,Electric,3,Manual,44689
Honda,2016,66508,Gasoline,1,Manual,19961
Ford,2015,54276,Diesel,1,Automatic,23357
Ford,2019,17702,Diesel,4,Manual,30512
Ford,2007,55819,Electric,1,Manual,27605
Ford,2005,70669,Electric,5,Automatic,33335
BMW,2024,53664,Gasoline,3,Automatic,48888
BMW,2020,59548,Gasoline,2,Automatic,44899
Ford,2006,56287,Electric,1,Automatic,28287
Honda,2006,53565,Diesel,2,Automatic,23101
Toyota,2007,61517,Diesel,1,Manual,19101
Toyota,2012,54546,Diesel,3,Automatic,30249
Honda,2019,88865,Gasoline,5,Automatic,30605
Ford,2011,15871,Diesel,3,Automatic,25829
BMW,2010,49083,Diesel,2,Automatic,44432
Toyota,2013,42594,Electric,1,Automatic,29630
Mercedes,2024,64382,Diesel,2,Automatic,55817
Mercedes,2005,61542,Electric,5,Automatic,55435
Honda,2012,92443,Diesel,3,Automatic,23939
Ford,2007,99022,Gasoline,2,Manual,16097
Toyota,2008,44538,Diesel,2,Manual,21915
Ford,2019,60010,Diesel,5,Manual,31614
Toyota,2010,63926,Electric,1,Automatic,32379
Honda,2019,44043,Electric,2,Automatic,37720
Honda,2007,72567,Electric,5,Automatic,35364
Mercedes,2018,55209,Diesel,1,Manual,45509
Ford,2024,38647,Diesel,1,Automatic,34090
Mercedes,2018,54408,Gasoline,3,Automatic,52726
Ford,2008,40046,Diesel,5,Automatic,27543
Mercedes,2016,80732,Gasoline,1,Manual,43585
BMW,2021,98031,Electric,3,Manual,51045
BMW,2011,64896,Electric,4,Automatic,50235
BMW,2013,62225,Electric,5,Manual,49712
BMW,2007,63048,Gasoline,4,Automatic,43276
Toyota,2017,83644,Diesel,1,Automatic,26788
BMW,2019,83213,Electric,5,Manual,52859
Honda,2022,57686,Diesel,3,Manual,32417
Honda,2023,65051,Diesel,1,Manual,31814
Toyota,2005,73052,Electric,5,Manual,29794
BMW,2010,37246,Gasoline,5,Automatic,44695
BMW,2006,84252,Diesel,4,Automatic,40935
BMW,2018,94696,Electric,1,Manual,45458
Mercedes,2010,83300,Diesel,3,Manual,44087
Ford,2018,35088,Diesel,3,Automatic,29765
Mercedes,2008,20599,Diesel,1,Automatic,42937
Ford,2012,74174,Diesel,1,Automatic,26298
BMW,2007,44796,Diesel,2,Automatic,41484
BMW,2023,65742,Gasoline,4,Manual,44875
Mercedes,2018,90702,Gasoline,1,Manual,43339
Mercedes,2024,46860,Electric,1,Manual,59322
Ford,2021,52448,Gasoline,2,Automatic,26801
Honda,2012,65534,Gasoline,2,Automatic,24645
Ford,2018,34049,Gasoline,5,Manual,26517
Mercedes,2010,44842,Diesel,3,Manual,45021
Mercedes,2020,60497,Diesel,4,Manual,52208
Toyota,2023,53990,Electric,5,Automatic,41571
Mercedes,2018,72168,Electric,1,Manual,51017
Toyota,2023,115319,Electric,2,Automatic,37833
Honda,2007,61982,Diesel,3,Manual,23079
Ford,2014,43165,Gasoline,5,Manual,24526
Ford,2023,88364,Gasoline,3,Manual,26829
Toyota,2013,28223,Diesel,2,Automatic,30206
Ford,2024,32221,Electric,5,Automatic,43604
Mercedes,2017,48097,Electric,5,Automatic,63273
BMW,2011,54342,Electric,3,Automatic,48603
Toyota,2018,47618,Diesel,2,Automatic,31444
Ford,2013,59369,Electric,1,Automatic,28201
Toyota,2023,65494,Electric,5,Manual,37024
Toyota,2019,81379,Diesel,1,Automatic,29493
BMW,2024,61823,Gasoline,2,Manual,43449
Mercedes,2018,48761,Diesel,5,Automatic,54135
Toyota,2010,80292,Diesel,5,Manual,24355
Ford,2008,43645,Diesel,1,Manual,20971
Honda,2012,27347,Diesel,4,Automatic,27616
Toyota,2021,84119,Gasoline,1,Manual,26279
Toyota,2013,82837,Electric,1,Automatic,32260
BMW,2005,44154,Diesel,4,Automatic,39376
Mercedes,2024,52018,Gasoline,2,Automatic,52151
Honda,2018,41661,Electric,2,Automatic,41724
Ford,2015,66532,Electric,5,Manual,36552
Honda,2007,94640,Electric,3,Automatic,28111
Ford,2013,74057,Diesel,3,Manual,24730
Mercedes,2018,80714,Diesel,5,Manual,47632
Ford,2013,76394,Electric,3,Manual,26937
BMW,2008,59997,Electric,1,Automatic,44865
BMW,2008,81666,Electric,1,Manual,42019
BMW,2012,74900,Electric,4,Automatic,52377
BMW,2006,88788,Electric,4,Manual,45710
Honda,2013,50809,Electric,5,Automatic,38949
Mercedes,2018,25237,Gasoline,5,Automatic,51510
Ford,2013,80905,Electric,5,Automatic,35332
Ford,2020,66995,Diesel,1,Automatic,29087
BMW,2021,54079,Diesel,3,Manual,46182
BMW,2020,55196,Diesel,5,Manual,48104
Toyota,2016,111093,Electric,5,Automatic,38103
Mercedes,2007,47156,Diesel,1,Manual,41267
Honda,2015,42933,Gasoline,1,Automatic,21423
Ford,2018,61705,Electric,1,Automatic,35224
Toyota,2022,83609,Diesel,3,Manual,29098
Toyota,2009,105568,Gasoline,5,Automatic,27636
Ford,2020,73147,Gasoline,2,Automatic,22231
Honda,2024,34591,Diesel,2,Automatic,36592
Toyota,2009,99417,Gasoline,5,Automatic,24216
Toyota,2007,59610,Diesel,5,Automatic,34102
Mercedes,2016,43245,Gasoline,5,Manual,54076
Honda,2005,38412,Electric,5,Manual,28929
Toyota,2013,76726,Electric,3,Manual,33297
Honda,2013,64776,Electric,2,Automatic,30726
Ford,2008,66901,Electric,4,Automatic,30876
BMW,2007,85730,Electric,2,Automatic,43479
Toyota,2021,43956,Diesel,2,Automatic,33198
Mercedes,2006,87323,Electric,1,Automatic,48283
Ford,2005,49616,Electric,5,Automatic,30615
Honda,2012,103280,Electric,5,Manual,32715
Ford,2017,71974,Electric,5,Automatic,37493
Toyota,2019,41595,Gasoline,1,Manual,21779
Honda,2012,19491,Electric,3,Automatic,35157
BMW,2016,76178,Electric,3,Manual,51511
Ford,2016,52516,Diesel,4,Automatic,29573
Toyota,2018,56888,Gasoline,3,Manual,23484
Mercedes,2019,75323,Diesel,3,Manual,49862
Honda,2019,80208,Electric,5,Automatic,37634
Ford,2013,84474,Diesel,2,Automatic,24705
Ford,2023,36503,Diesel,3,Manual,29830
BMW,2024,88517,Electric,3,Automatic,58097
BMW,2012,48419,Gasoline,1,Automatic,39236
Mercedes,2023,14875,Gasoline,4,Automatic,53967
Mercedes,2010,36431,Diesel,1,Manual,41740
Toyota,2024,64360,Electric,5,Automatic,41324
Toyota,2023,40423,Diesel,2,Manual,30060
Mercedes,2008,58239,Diesel,4,Manual,48627
Mercedes,2011,66765,Diesel,1,Automatic,47158
Honda,2008,56372,Electric,3,Manual,33263
BMW,2016,50112,Electric,3,Automatic,53452
Toyota,2017,34986,Gasoline,4,Automatic,32536
BMW,2007,60438,Electric,3,Manual,42481
BMW,2016,18700,Diesel,1,Manual,42104
Mercedes,2006,46280,Diesel,1,Manual,39925
Honda,2006,41444,Gasoline,3,Manual,22485
Ford,2013,55212,Electric,3,Manual,28494
Honda,2005,55733,Diesel,5,Automatic,27318
Honda,2012,79199,Gasoline,2,Manual,17393
BMW,2010,91669,Gasoline,4,Automatic,41591
Honda,2010,37644,Diesel,1,Automatic,25969
Toyota,2022,99856,Diesel,4,Manual,26764
BMW,2021,44414,Electric,5,Manual,52599
Toyota,2016,63450,Gasoline,1,Manual,20235
Ford,2010,70217,Diesel,5,Manual,24633
BMW,2012,108891,Gasoline,5,Manual,36760
Ford,2023,49154,Electric,3,Automatic,41799
BMW,2014,24065,Diesel,4,Automatic,48669
Mercedes,2005,89807,Electric,4,Automatic,52707
Honda,2017,43332,Gasoline,3,Manual,23155
Mercedes,2021,52768,Electric,4,Manual,60947
Ford,2007,37645,Electric,3,Automatic,32916
Honda,2012,52825,Gasoline,1,Manual,18994
BMW,2018,43192,Electric,5,Manual,50756
Honda,2007,73528,Gasoline,5,Manual,22671
Toyota,2020,61615,Diesel,4,Automatic,32986
Honda,2017,46378,Gasoline,2,Manual,23831
Toyota,2024,79917,Gasoline,5,Automatic,33593
Honda,2021,65099,Diesel,3,Manual,30187
Toyota,2017,23079,Gasoline,2,Manual,21644
Ford,2010,78394,Diesel,2,Automatic,25940
Mercedes,2021,63697,Diesel,5,Manual,54811
BMW,2018,87814,Gasoline,5,Manual,44030
Honda,2021,62478,Electric,5,Manual,38087
Mercedes,2012,44165,Electric,3,Automatic,57957
BMW,2015,55914,Diesel,2,Manual,40619
BMW,2024,76078,Electric,4,Manual,53139
Toyota,2005,44585,Electric,3,Manual,31548
Ford,2011,51194,Gasoline,1,Manual,23127
Ford,2021,55566,Diesel,5,Manual,29279
Mercedes,2014,37012,Diesel,2,Automatic,49998
Ford,2015,44873,Gasoline,3,Automatic,25083
Honda,2013,63451,Electric,1,Manual,29330
Ford,2013,84049,Diesel,3,Manual,21241
Mercedes,2009,66342,Electric,3,Automatic,55605
Ford,2021,59082,Diesel,4,Manual,29345
Honda,2013,43374,Diesel,4,Manual,27424
Toyota,2021,81903,Diesel,3,Manual,32167
Mercedes,2023,68670,Diesel,1,Manual,46100
Toyota,2011,45865,Electric,2,Manual,32076
Toyota,2013,77972,Electric,2,Manual,28834
Toyota,2011,71191,Electric,5,Manual,36333
BMW,2017,43729,Electric,5,Manual,56887
BMW,2015,57972,Gasoline,2,Automatic,41575
Toyota,2018,50144,Diesel,3,Automatic,27604
Mercedes,2023,112670,Diesel,3,Manual,46990
Honda,2015,70634,Diesel,4,Manual,31833
Honda,2017,63735,Gasoline,4,Manual,25629
Ford,2018,69453,Electric,5,Manual,39069
Mercedes,2017,87583,Diesel,2,Automatic,46908
BMW,2005,58332,Electric,3,Automatic,45321
Toyota,2012,48201,Electric,2,Automatic,35648
Ford,2016,76885,Gasoline,1,Automatic,24474
Honda,2023,56501,Gasoline,2,Manual,28879
BMW,2016,38602,Electric,1,Manual,47079
BMW,2012,34706,Diesel,4,Manual,45333
Toyota,2012,90585,Diesel,4,Automatic,30393
Honda,2017,62632,Gasoline,5,Manual,30666
Mercedes,2016,48208,Gasoline,2,Manual,43842
BMW,2020,55313,Gasoline,2,Automatic,46801
Toyota,2005,76148,Gasoline,1,Automatic,18649
Mercedes,2017,54131,Gasoline,4,Automatic,50979
Honda,2011,31011,Gasoline,1,Automatic,23594
BMW,2009,66516,Gasoline,4,Automatic,39677
Mercedes,2012,84166,Diesel,1,Manual,37820
Mercedes,2018,82829,Gasoline,4,Manual,49805
Mercedes,2017,48813,Gasoline,1,Automatic,45654
BMW,2019,85383,Diesel,4,Manual,43691
BMW,2021,64258,Diesel,1,Manual,40325
Ford,2019,84822,Electric,2,Manual,30245
Honda,2024,71473,Gasoline,5,Manual,30414
Toyota,2022,29568,Gasoline,1,Automatic,33079
Mercedes,2022,94934,Gasoline,5,Manual,49072
Ford,2006,61035,Gasoline,2,Manual,20877
Toyota,2008,71535,Electric,2,Manual,30201
Ford,2005,33119,Diesel,4,Automatic,24895
BMW,2008,70106,Diesel,5,Manual,41634
Mercedes,2022,82058,Gasoline,3,Automatic,51935
Toyota,2009,98706,Gasoline,4,Automatic,26747
Toyota,2023,88007,Gasoline,5,Automatic,35980
Toyota,2019,71084,Electric,1,Automatic,35319
Toyota,2012,29112,Electric,1,Manual,28635
Toyota,2024,62645,Diesel,2,Automatic,34149
Ford,2021,48149,Gasoline,3,Automatic,29619
Mercedes,2005,64699,Gasoline,1,Automatic,34686
BMW,2016,35673,Gasoline,5,Automatic,48996
BMW,2023,55796,Gasoline,5,Automatic,49241
BMW,2019,49656,Electric,1,Manual,47100
BMW,2013,49036,Diesel,5,Automatic,47560
Ford,2011,49235,Diesel,5,Manual,23430
Honda,2006,57282,Electric,2,Manual,26913
Mercedes,2013,65723,Gasoline,3,Automatic,46580
Toyota,2014,10030,Diesel,2,Manual,25744
Honda,2006,12471,Diesel,3,Manual,23968
BMW,2023,53226,Electric,5,Manual,52458
Honda,2015,56044,Gasoline,3,Automatic,27849
Mercedes,2017,63782,Diesel,5,Automatic,54752
Toyota,2014,45446,Gasoline,5,Automatic,32338
Toyota,2018,60189,Diesel,2,Automatic,31568
Mercedes,2022,62530,Electric,2,Automatic,60704
Mercedes,2023,45308,Gasoline,4,Automatic,54571
BMW,2013,80269,Electric,1,Automatic,48677
Toyota,2011,63539,Diesel,4,Manual,26152
Honda,2007,70939,Electric,4,Manual,28054
Ford,2024,61376,Electric,3,Automatic,38145
Ford,2010,102073,Electric,5,Manual,30430
Mercedes,2006,71927,Diesel,5,Automatic,50073
BMW,2010,50240,Gasoline,5,Automatic,44490
Ford,2007,76419,Electric,1,Automatic,25331
Toyota,2020,27247,Gasoline,3,Manual,32526
Mercedes,2012,62392,Diesel,3,Automatic,45510
Honda,2006,66383,Gasoline,5,Automatic,24346
Mercedes,2021,62620,Electric,4,Automatic,62654
Honda,2013,53324,Electric,1,Automatic,35366
Mercedes,2016,39754,Electric,4,Manual,57473
Mercedes,2007,44213,Electric,2,Automatic,52289
Mercedes,2015,62041,Electric,3,Manual,52816
Honda,2005,37729,Electric,3,Manual,29709
Honda,2017,95403,Diesel,4,Automatic,29988
Mercedes,2019,7182,Diesel,1,Automatic,50131
Ford,2009,53531,Diesel,3,Manual,21705
BMW,2021,62207,Gasoline,4,Manual,43154
BMW,2010,70148,Gasoline,1,Manual,34519
BMW,2015,41681,Diesel,4,Manual,44739
Honda,2022,82685,Gasoline,1,Automatic,30134
Honda,2008,32123,Gasoline,5,Manual,24199
Ford,2007,48677,Electric,1,Manual,24704
BMW,2017,72414,Electric,2,Manual,49897
BMW,2013,80803,Gasoline,5,Manual,45069
Mercedes,2010,31919,Gasoline,4,Automatic,49853
Honda,2016,112900,Diesel,5,Automatic,29347
BMW,2006,42050,Gasoline,5,Automatic,41951
Ford,2007,33756,Electric,4,Manual,26626
Ford,2007,70054,Gasoline,4,Manual,18641
BMW,2016,53034,Diesel,2,Automatic,44551
Honda,2019,50078,Electric,4,Automatic,39134
Ford,2013,71912,Electric,3,Manual,31151
Mercedes,2012,29454,Electric,3,Automatic,56136
Ford,2015,25957,Electric,2,Manual,30250
Toyota,2020,48051,Gasoline,1,Manual,26280
Toyota,2008,81558,Diesel,1,Manual,24432
Honda,2005,48918,Gasoline,3,Manual,19419
BMW,2011,91983,Gasoline,4,Manual,38678
Honda,2006,84020,Electric,2,Manual,26992
Honda,2009,65658,Diesel,1,Automatic,21573
Honda,2011,66794,Electric,1,Automatic,32705
Honda,2008,65640,Gasoline,5,Automatic,23559
Mercedes,2009,63194,Gasoline,3,Manual,41524
Mercedes,2005,52675,Electric,4,Automatic,52743
Ford,2005,54996,Gasoline,2,Manual,17552
Toyota,2019,38600,Gasoline,1,Manual,21626
Honda,2024,15799,Electric,5,Manual,44915
Ford,2023,82081,Gasoline,3,Manual,27224
Toyota,2014,63145,Diesel,3,Automatic,31588
BMW,2022,60124,Electric,2,Automatic,56719
Mercedes,2007,67968,Diesel,1,Automatic,41120
Toyota,2015,43432,Gasoline,2,Manual,19839
BMW,2019,39978,Gasoline,2,Automatic,47293
Toyota,2015,54326,Electric,5,Automatic,39210
Mercedes,2021,87361,Gasoline,3,Automatic,47865
Mercedes,2021,36625,Electric,4,Manual,60321
Ford,2010,7458,Electric,3,Automatic,39554
Honda,2009,49571,Electric,3,Manual,29803
Toyota,2012,82853,Electric,5,Automatic,38759
Toyota,2006,25349,Electric,4,Manual,30257
BMW,2020,36394,Diesel,1,Automatic,42306
Mercedes,2024,65270,Electric,4,Automatic,64064
Toyota,2016,111398,Diesel,1,Automatic,26022
Mercedes,2010,32835,Gasoline,4,Manual,44926
Toyota,2005,32061,Electric,2,Automatic,34809
Ford,2008,66773,Gasoline,4,Automatic,20632
Honda,2021,84093,Electric,5,Manual,34835
Toyota,2017,47518,Diesel,1,Manual,24538
Mercedes,2022,27572,Diesel,3,Manual,51408
Ford,2009,68674,Diesel,5,Manual,27496
Toyota,2007,72296,Gasoline,1,Automatic,20983
BMW,2015,95573,Electric,1,Automatic,46335
Honda,2017,73138,Gasoline,3,Manual,22303
Toyota,2008,76561,Diesel,2,Automatic,26345
Ford,2018,54757,Gasoline,5,Manual,25988
BMW,2015,108830,Diesel,3,Automatic,40009
Ford,2014,52037,Diesel,3,Manual,24097
Ford,2023,47761,Diesel,2,Automatic,31438
BMW,2022,96190,Electric,5,Manual,51750
Ford,2010,30515,Electric,3,Manual,31888
BMW,2019,23051,Diesel,2,Automatic,46781
Toyota,2014,62391,Gasoline,5,Automatic,32985
BMW,2009,59965,Gasoline,4,Automatic,43011
BMW,2009,55442,Electric,1,Manual,46310
Honda,2014,79878,Diesel,2,Automatic,25121
BMW,2009,41835,Gasoline,1,Manual,37096
BMW,2007,61283,Diesel,4,Automatic,38862
Toyota,2010,52797,Gasoline,3,Automatic,32143
Honda,2008,42175,Electric,3,Manual,31479
Mercedes,2022,58763,Diesel,5,Manual,52969
Toyota,2013,77051,Diesel,2,Automatic,26129
Toyota,2021,102411,Gasoline,2,Manual,24385
Mercedes,2017,71588,Gasoline,5,Manual,52600
BMW,2019,9783,Gasoline,1,Automatic,46807
Ford,2024,59237,Diesel,3,Manual,28651
Honda,2021,60996,Electric,3,Automatic,35972
Ford,2017,78724,Electric,2,Automatic,35456
Mercedes,2020,63696,Gasoline,2,Manual,47992
Toyota,2008,85061,Electric,5,Automatic,36159
Toyota,2009,67833,Gasoline,4,Manual,23440
Honda,2009,91175,Electric,1,Automatic,27341
Toyota,2013,51225,Diesel,4,Manual,31309
Toyota,2021,62886,Gasoline,4,Manual,33412
Honda,2017,76532,Electric,2,Manual,32453
Honda,2006,48556,Diesel,2,Manual,22511
Mercedes,2017,44199,Electric,2,Manual,54262
Toyota,2023,47412,Diesel,4,Automatic,33389
Toyota,2007,45015,Diesel,1,Automatic,21789
Mercedes,2014,70451,Electric,2,Manual,53269
BMW,2006,23303,Electric,3,Automatic,51382
BMW,2017,28880,Diesel,1,Manual,43664
BMW,2023,97254,Diesel,3,Manual,44829
Mercedes,2021,45498,Diesel,1,Automatic,52907
Toyota,2018,64000,Gasoline,2,Automatic,28183
Mercedes,2016,30217,Diesel,5,Manual,53231
Mercedes,2016,61882,Gasoline,2,Manual,43996
BMW,2015,45619,Diesel,4,Manual,42105
Ford,2011,28738,Gasoline,4,Manual,26292
Toyota,2008,86738,Diesel,1,Manual,21713
BMW,2023,83651,Diesel,4,Manual,51265
Ford,2005,57852,Diesel,2,Automatic,22135
Ford,2007,79988,Electric,3,Manual,24404
Honda,2017,98065,Electric,2,Manual,29439
Toyota,2019,75081,Diesel,1,Automatic,27974
Ford,2006,69593,Gasoline,4,Manual,20317
BMW,2015,63978,Gasoline,3,Manual,41242
Honda,2008,72989,Diesel,5,Automatic,28576
Toyota,2023,52721,Electric,3,Manual,39418
Mercedes,2021,54467,Gasoline,3,Automatic,52171
BMW,2007,69017,Electric,2,Manual,38098
Ford,2022,50522,Gasoline,5,Automatic,33928
Ford,2012,52684,Diesel,1,Automatic,24039
BMW,2023,60003,Electric,1,Automatic,53600
Ford,2009,83012,Gasoline,3,Manual,18626
Honda,2011,37346,Diesel,3,Manual,25579
Toyota,2012,75183,Diesel,4,Automatic,30353
Honda,2009,75835,Diesel,5,Automatic,27888
Ford,2021,75716,Electric,3,Manual,35065
Mercedes,2009,43865,Electric,4,Manual,52946
Toyota,2008,26146,Diesel,5,Manual,28505
Toyota,2023,71194,Electric,1,Manual,28094
BMW,2006,63750,Gasoline,4,Manual,35024
BMW,2015,80087,Diesel,5,Automatic,44713
Mercedes,2017,45989,Diesel,4,Manual,50633
Toyota,2019,75202,Electric,3,Automatic,40283
Mercedes,2016,81088,Diesel,2,Manual,44708
BMW,2015,58093,Gasoline,1,Automatic,42291
BMW,2011,68338,Electric,3,Automatic,50379
Toyota,2009,67639,Electric,3,Manual,30397
